SDID__c,Name,Description__c,Stage__c,Status__c,Area__c,PID__c,Program_Name__c
SD-000449,Statement,,Stage Three,Active,Conversation,P-000160,Reciprocal statements
SD-000501,Visual cue,,Stage Three,Active,School Readiness,P-000161,Referencing the board
SD-000357,Rec. play instr.,,Stage One,Active,Learning to Learn,P-000162,Reinforcement Contingency
SD-000276,Model,,Stage Three,Active,Self-Care,P-000164,Relaxation Strategies
SD-000038,Call name,,Stage Two,Active,Receptive Language,P-000165,Response to name
SD-000413,rest time,,Stage Two,Active,Receptive Language,P-000166,Rest corner
SD-000417,Ride bike,,Stage Two,Active,Play Skills,P-000168,Riding bike
SD-000202,Helmet tolerance,,Stage Two,Active,Play Skills,P-000168,Riding bike
SD-000338,Q/A,,Stage Four,Active,Expressive reasoning,P-000169,Role projection
SD-000418,Role play,,Stage Four,Active,Expressive reasoning,P-000169,Role projection
SD-000331,Put with same/different,,Stage Three,Active,Abstract Concepts,P-000170,Same/Different
SD-000390,Receptive,,Stage Three,Active,Abstract Concepts,P-000170,Same/Different
SD-000147,Expressive,,Stage Three,Active,Abstract Concepts,P-000170,Same/Different
SD-000017,Actions,,Stage Three,Active,Speech,P-000171,Say vs. do
SD-000350,Questions,,Stage Three,Active,Speech,P-000171,Say vs. do
SD-000066,Daily living task,,Stage One,Active,Self-Care,P-000173,Self Help
SD-000173,Expressive senses,,Stage Two,Active,Expressive Language,P-000174,Senses
SD-000164,Expressive feel,,Stage Two,Active,Expressive Language,P-000174,Senses
SD-000166,Expressive hear,,Stage Two,Active,Expressive Language,P-000174,Senses
SD-000174,Expressive taste,,Stage Two,Active,Expressive Language,P-000174,Senses
SD-000431,Sequence,,Stage Three,Active,Language,P-000175,Sequencing
SD-000148,Expressive,,,Active,,P-000175,Sequencing
SD-000264,Matching,,Stage One,Active,Matching,P-000176,Shapes
SD-000391,Receptive,,Stage Two,Active,Abstract Concepts,P-000176,Shapes
SD-000149,Expressive,,Stage Two,Active,Abstract Concepts,P-000176,Shapes
SD-000109,Exposure,,Stage One,Active,Communication,P-000177,Sign exposure
SD-000440,Social game,,Stage Three,Active,Social Play Skills,P-000179,Social Games
SD-000339,Q/A,,Stage Two,Active,Conversation,P-000180,Social Questions
SD-000411,Reciprocal,,Stage Three,Active,Conversation,P-000180,Social Questions
SD-000419,Role projection,,Stage Four,Active,Expressive reasoning,P-000182,Social situations
SD-000110,Exposure,,Stage One,Active,Play Skills,P-000184,Song Exposure
SD-000442,Song exposure,,Stage One,Active,Play Skills,P-000184,Song Exposure
SD-000237,Intraverbal,,Stage Two,Active,Expressive Language,P-000185,Songs
SD-000213,Identical,,Stage One,Active,Matching,P-000186,Sorting
SD-000289,Non-Identical,,Stage One,Active,Matching,P-000186,Sorting
SD-000050,Colours,,Stage One,Active,Matching,P-000186,Sorting
SD-000226,In view,,Stage One,Active,Receptive Language,P-000187,Sound discrimination
SD-000294,Out of sight,,Stage One,Active,Receptive Language,P-000187,Sound discrimination
SD-000197,Go to,,Stage Two,Active,Play Skills,P-000188,Spatial Awareness
SD-000201,Go to holding item,,Stage Two,Active,Play Skills,P-000188,Spatial Awareness
SD-000432,Sequence Letters,,Stage Three,Active,School Readiness,P-000189,Spelling
SD-000522,Writing,,Stage Four,Active,School Readiness,P-000189,Spelling
SD-000325,Present item,,Stage Two,Active,Expressive Language,P-000190,Spontaneous Labels
SD-000450,Statement,,Stage Three,Active,Conversation,P-000191,Statement question
SD-000454,Stop,,Stage Three,Active,Social Play Skills,P-000193,Stop
SD-000458,Ta,,Stage One,Active,Learning to Learn,P-000194,Ta
SD-000069,Do (activity),,Stage One,Active,Learning to Learn,P-000196,Task Completion
SD-000322,Present,,Stage Two,Active,Expressive Language,P-000197,Tenses
SD-000299,Past,,Stage Three,Active,Language,P-000197,Tenses
SD-000182,Future,,Stage Four,Active,Expressive Language,P-000197,Tenses
SD-000203,Hidden Item,,Stage Four,Active,Expressive reasoning,P-000198,Theory of mind
SD-000345,Question,,Stage Four,Active,Expressive reasoning,P-000198,Theory of mind
SD-000471,Tolerance,,Stage One,Active,Learning to Learn,P-000200,Timer
SD-000464,Toilet routine,,Stage Two,Active,Self-Care,P-000201,Toilet routine
SD-000465,Toileting,,Stage Two,Active,Self-Care,P-000203,Toileting
SD-000466,Token board,,Stage Three,Active,School Readiness,P-000204,Token Board
SD-000111,Exposure,,Stage One,Active,Self-Care,P-000207,Toothbrush Tolerance
SD-000476,Toothbrush benign location,,Stage One,Active,Self-Care,P-000207,Toothbrush Tolerance
SD-000477,Toothbrush to lips,,Stage One,Active,Self-Care,P-000207,Toothbrush Tolerance
SD-000478,Toothbrush to teeth,,Stage One,Active,Self-Care,P-000207,Toothbrush Tolerance
SD-000037,Brushing teeth,,Stage One,Active,Self-Care,P-000207,Toothbrush Tolerance
SD-000265,Matching,,Stage One,Active,Matching,P-000208,Touch Same
SD-000479,Trace,,Stage Two,Active,Kinder Readiness,P-000209,Tracing
SD-000046,Close ended task,,Stage Two,Active,Social Play Skills,P-000210,Turn Taking
SD-000292,Open ended task,,Stage Two,Active,Social Play Skills,P-000210,Turn Taking
SD-000245,Less preferred item,,Stage Two,Active,Social Play Skills,P-000210,Turn Taking
SD-000321,Preferred item,,,Active,,P-000210,Turn Taking
SD-000481,Turn taking,,Stage Two,Active,Social Play Skills,P-000210,Turn Taking
SD-000112,Exposure,,Stage Three,Active,School Readiness,P-000211,Typing
SD-000482,Type,,Stage Three,Active,School Readiness,P-000211,Typing
SD-000438,Single sound VI,,Stage One,Active,Speech,P-000212,Verbal Imitation (VI)
SD-000484,VC - VI,,Stage One,Active,Speech,P-000212,Verbal Imitation (VI)
SD-000065,CV - VI,,Stage One,Active,Speech,P-000212,Verbal Imitation (VI)
SD-000518,Words - VI,,Stage Two,Active,Speech,P-000212,Verbal Imitation (VI)
SD-000487,VI,,Stage One,Active,Speech,P-000212,Verbal Imitation (VI)
SD-000488,VI - sentence intonation,,Stage Three,Active,Speech,P-000212,Verbal Imitation (VI)
SD-000113,Exposure,,Stage Three,Active,,P-000213,Video modelling
SD-000224,Imitation,,Stage Three,Active,,P-000213,Video modelling
SD-000070,Do schedule,,Stage Three,Active,School Readiness,P-000214,Visual schedule
SD-000456,Synonym,,Stage Four,Active,Expressive Language,P-000215,Vocabulary
SD-000058,Contextual,,Stage Four,Active,Expressive Language,P-000215,Vocabulary
SD-000425,Say it loudly/quietly,,Stage Four,Active,Conversation,P-000216,Volume proximity
SD-000027,Adjusting vol. due proximity,,Stage Four,Active,Conversation,P-000216,Volume proximity
SD-000505,Wait w visual,,Stage One,Active,Learning to Learn,P-000217,Wait tolerance
SD-000204,Holding hands,,Stage Two,Active,Community Access,P-000219,Walk with me
SD-000291,Not holding hands,,Stage Two,Active,Community Access,P-000219,Walk with me
SD-000508,Wash hands,,Stage One,Active,Self-Care,P-000220,Washing hands
SD-000150,Expressive,,Stage Three,Active,Abstract Concepts,P-000222,What doesn't belong
SD-000512,Why not,,Stage Three,Active,Abstract Concepts,P-000222,What doesn't belong
SD-000272,missing component,,Stage Three,Active,Abstract Concepts,P-000223,What's missing?
SD-000241,item removed,,Stage Three,Active,Abstract Concepts,P-000223,What's missing?
SD-000151,Expressive,,Stage Four,Active,Abstract Concepts,P-000224,What's silly
SD-000152,Expressive,,Stage Three,Active,School Readiness,P-000225,When
SD-000172,Expressive reverse,,Stage Three,Active,School Readiness,P-000225,When
SD-000153,Expressive,,Stage Three,Active,Language,P-000226,Who What When Where Why How
SD-000511,Why don't/because,,Stage Three,Active,Language,P-000227,Why/because
SD-000514,Why/because,,Stage Three,Active,Language,P-000227,Why/because
SD-000415,Reverse why/because,,Stage Three,Active,Language,P-000227,Why/because
SD-000266,Matching,,Stage Three,Active,School Readiness,P-000228,Word matching
SD-000267,Matching,,Stage Three,Active,School Readiness,P-000229,Words
SD-000392,Receptive,,Stage Three,Active,School Readiness,P-000229,Words
SD-000154,Expressive,,Stage Three,Active,School Readiness,P-000229,Words
SD-000026,Activity with distraction,,Stage Three,Active,School Readiness,P-000230,Working through distractions
SD-000519,Worksheet,,Stage Three,Active,School Readiness,P-000231,Worksheets
SD-000521,Write (with visual),,Stage Three,Active,School Readiness,P-000232,Writing
SD-000520,Write (no visual),,Stage Four,Active,School Readiness,P-000232,Writing
SD-000348,Question with visual,,Stage Two,Active,Conversation,P-000233,Yes/no
SD-000349,Question without visual,,Stage Two,Active,Conversation,P-000233,Yes/no
SD-000178,Factual,,Stage Two,Active,Expressive Language,P-000233,Yes/no
SD-000524,You be the teacher,,Stage Three,Active,Conversation,P-000234,You be the teacher
SD-000525,Zones of regulation visual,,Stage Three,Active,Self-Care,P-000235,Zones of regulation
SD-000402,Receptive Person/action,,Stage One,Active,Receptive Language,P-000004,Actions
SD-000169,Expressive Person/Action,,Stage Two,Active,Expressive Language,P-000004,Actions
SD-000116,Exposure,,Stage Two,Active,Abstract Concepts,P-000014,Behaviour Vocabulary
SD-000032,Brainstorm,,Stage Four,Active,Abstract Concepts,P-000014,Behaviour Vocabulary
SD-000340,Q/A,,Stage Three,Active,Abstract Concepts,P-000014,Behaviour Vocabulary
SD-000451,Statement,,Stage Three,Active,Abstract Concepts,P-000014,Behaviour Vocabulary
SD-000399,Receptive Before,,Stage Three,Active,Abstract Concepts,P-000013,Before/After
SD-000426,Scale,,Stage Four,Active,Abstract Concepts,P-000024,Catastrophe Scale
SD-000427,Scenario,,Stage Four,Active,Abstract Concepts,P-000024,Catastrophe Scale
SD-000434,Sequencing,,Stage Three,Active,Abstract Concepts,P-000023,Calendar
SD-000018,Activities on Day,,Stage Three,Active,Abstract Concepts,P-000023,Calendar
SD-000420,Room,,Stage One,Active,Receptive Language,P-000081,Go To
SD-000199,Go to and Action,,Stage Two,Active,Receptive-Language,P-000082,Go To and Action
SD-000198,Go To,,Stage One,Active,Receptive Language,P-000084,Go Went
SD-000509,Where did you go?,,Stage Three,Active,Language,P-000084,Go Went
SD-000216,Imaginary Play,,Stage Three,Active,Social Play Skills,P-000141,Pretend
SD-000443,Song with planned model,,Stage One,Active,Imitation,P-000183,Song Actions
SD-000474,Tolerance to Item,,Stage One,Active,Learning to Learn,P-000205,Tolerance
SD-000475,Tolerance to Music,,Stage One,Active,Learning to Learn,P-000205,Tolerance
SD-000091,Exp. We/they/I/You,,Stage Three,Active,Abstract Concepts,P-000150,Pronouns
SD-000303,Person not attending,,Stage Two,Active,Conversation,P-000076,Getting attention
SD-000457,Ta,,Stage One,Active,Receptive Language,P-000041,Contextual Instructions
SD-000244,Language exposure,,Stage Two,Active,Receptive Language,P-000054,Drawing language exposure
SD-000179,Food presentation,,Stage Two,Active,Self-Care,P-000056,Eating tolerance
SD-000422,Sampling,,Stage One,Active,Learning to Learn,P-000163,Reinforcement Development
SD-000185,Generalised,,Stage One,Active,Learning to Learn,P-000151,Proximity tolerance
SD-000188,Generalised,,Stage One,Active,Learning to Learn,P-000032,Come Here
SD-000240,Item for person not attending,,Stage Two,Active,Conversation,P-000076,Getting attention
SD-000296,Parent leaves (inside),,Stage One,Active,Learning to Learn,P-000206,Tolerance to Parents Leaving
SD-000472,Tolerance,,Stage One,Active,Self-Care,P-000221,Washing hands tolerance
SD-000268,Matching,,Stage One,Active,Matching,P-000005,Animal Matching
SD-000251,Mand,,Stage One,Active,Communication,P-000185,Songs
SD-000252,Mand,,Stage One,Active,Communication,P-000020,Books
SD-000493,Visual,,Stage One,Active,Matching,P-000078,Give me same
SD-000030,Book w model,,Stage Two,Active,Expressive Language,P-000062,Expressive labels exposure
SD-000031,Book w/o model,,Stage Two,Active,Expressive Language,P-000062,Expressive labels exposure
SD-000492,Visual,,Stage Two,Active,Expressive Language,P-000062,Expressive labels exposure
SD-000491,Visual,,Stage Two,Active,Expressive Language,P-000148,Proloquo2go people
SD-000243,Labels exposure,,Stage One,Active,Receptive Language,P-000146,Proloquo2go commenting
SD-000057,Communication opportunity,,Stage One,Active,Communication,P-000143,Proloquo requests
SD-000024,Activity,,Stage Two,Active,Play Skills,P-000008,Arts and Crafts
SD-000473,Tolerance,,Stage Two,Active,Self-Care,P-000088,Hat tolerance
SD-000114,Exposure,,Stage One,Active,Speech,P-000124,Oral Motor
SD-000393,Receptive,,Stage Two,Active,Play Skills,P-000006,Animal Sounds
SD-000181,From Play,,Stage One,Active,Learning to Learn,P-000032,Come Here
SD-000118,Exposure,,Stage One,Active,Receptive Language,P-000060,Exposure
SD-000187,Generalised,,Stage One,Active,Matching,P-000186,Sorting
SD-000115,Exposure,,Stage Two,Active,Speech,P-000007,Articulation Modelling
SD-000421,Safe Throwing Activity,,Stage One,Active,Receptive Language,P-000152,Put It Down
SD-000306,Planned model,,Stage Two,Active,Imitation,P-000138,Precision NVI
SD-000275,Model,,Stage One,Active,Communication,P-000034,Communication Temptation
SD-000523,Written Word,,Stage One,Active,Receptive Language,P-000022,Bring Me
SD-000016,Action with object,,Stage One,Active,Imitation,P-000113,Non Verbal Imitation (NVI)
SD-000189,Generalised SD,,Stage Two,Active,Kinder Readiness,P-000073,Generalisation
SD-000175,Expressive visual only,,Stage Two,Active,Expressive Language,P-000061,Expressive Labels
SD-000080,Exp. I/You (who),,Stage Three,Active,Abstract Concepts,P-000150,Pronouns
SD-000079,Exp. I/you (what),,Stage Three,Active,Abstract Concepts,P-000150,Pronouns
SD-000470,Tolerance,,Stage Two,Active,Self-Care,P-000012,Bathroom tolerance
SD-000190,Getting attention,,Stage One,Active,Communication,P-000034,Communication Temptation
SD-000019,Activity,,Stage Two,Active,Self-Care,P-000045,Daily living skills
SD-000156,Expressive,,Stage Two,Active,Expressive Language,P-000104,Language exposure
SD-000277,Model language,,Stage One,Active,Receptive Language,P-000104,Language exposure
SD-000279,Model sentence,,Stage Three,Active,Language,P-000104,Language exposure
SD-000278,Model rule,,Stage Three,Active,Abstract Concepts,P-000181,Social rules
SD-000047,Colour,,Stage One,Active,Matching,P-000001,2D Matching
SD-000435,Shape,,Stage One,Active,Matching,P-000001,2D Matching
SD-000048,Colour/shape,,Stage One,Active,Matching,P-000001,2D Matching
SD-000117,Exposure,,Stage One,Active,Receptive Language,P-000107,Locations
SD-000504,Volume,,Stage Three,Active,Speech,P-000212,Verbal Imitation (VI)
SD-000453,Stay,,Stage Two,Active,Community Access,P-000219,Walk with me
SD-000506,Wait w/o visual,,Stage Two,Active,Learning to Learn,P-000217,Wait tolerance
SD-000405,Receptive/expressive,,Stage Two,Active,Receptive Language,P-000129,People
SD-000483,Unplanned model with toy,,Stage Two,Active,Imitation,P-000134,Play Imitation
SD-000459,TA's turn,,Stage Two,Active,Learning to Learn,P-000155,Reading tolerance
SD-000452,Statement in play,,Stage Three,Active,Conversation,P-000160,Reciprocal statements
SD-000209,I have,,Stage Three,Active,Conversation,P-000160,Reciprocal statements
SD-000280,Moderately preferred item,,Stage Two,Active,Social Play Skills,P-000210,Turn Taking
SD-000469,Tolerance,,Stage Two,Active,Self-Care,P-000202,Toilet tolerance
SD-000447,Statement,,Stage Three,Active,Conversation,P-000043,Conversation
SD-000346,Question,,Stage Three,Active,Conversation,P-000043,Conversation
SD-000406,Receptive/expressive,,Stage Two,Active,Expressive Language,P-000071,Functions
SD-000042,Chart,,Stage Three,Active,School Readiness,P-000167,Reward Chart
SD-000480,Tracing,,Stage Two,Active,Kinder Readiness,P-000008,Arts and Crafts
SD-000404,Receptive w/ objects,,Stage Two,Active,Conversation,P-000026,Choices
SD-000177,Expressive/Receptive,,Stage Two,Active,Conversation,P-000026,Choices
SD-000242,Item with visual,,Stage One,Active,Receptive Language,P-000022,Bring Me
SD-000329,Proloquo,,Stage Two,Active,Conversation,P-000026,Choices
SD-000318,Point in direction,,Stage Two,Active,Learning to Learn,P-000102,Joint Attention
SD-000063,Cutting and Pasting Activity,,Stage Two,Active,Play Skills,P-000008,Arts and Crafts
SD-000205,Holding hands tolerance,,Stage Two,Active,Community Access,P-000219,Walk with me
SD-000191,Getting dressed,,Stage Two,Active,Self-Care,P-000077,Getting dressed
SD-000495,Visual,,,Active,,P-000067,Finished
SD-000503,Volume,,,Active,,P-000149,Proloquo2go Tolerance
SD-000517,Without Items,,,Active,,P-000141,Pretend
SD-000269,Matching,,,Active,,P-000018,Body Parts
SD-000014,Action,,,Active,,P-000050,Do vs Don't
SD-000455,Sustained sound,,Stage Two,Active,Speech,P-000212,Verbal Imitation (VI)
SD-000496,Visual,,,Active,,P-000145,Proloquo2go Colour/shape
SD-000394,Receptive,,Stage Two,Active,Receptive Language,P-000028,Colour/Item
SD-000077,Engage In Strategy,,,Active,,P-000235,Zones of regulation
SD-000395,Receptive,,Stage Two,Active,Receptive Language,P-000130,People actions
SD-000119,Exposure,,Stage One,Active,Learning to Learn,P-000195,Table and chair exposure
SD-000439,Snack,,Stage One,Active,Learning to Learn,P-000178,Snack Time
SD-000044,Child Guessing,,,Active,,P-000087,Guess
SD-000074,Emotions Brainstorming,,,Active,,P-000040,Contextual emotions
SD-000423,Say,,,Active,,P-000050,Do vs Don't
SD-000059,Contextual Instruction,,Stage One,Active,,P-000125,Packing up
SD-000497,Visual - 2D,,Stage Two,Active,Expressive Language,P-000062,Expressive labels exposure
SD-000498,Visual - 3D,,Stage Two,Active,Expressive Language,P-000062,Expressive labels exposure
SD-000396,Receptive,,Stage Two,Active,Receptive Language,P-000072,Gender
SD-000155,Expressive,,Stage Two,Active,Expressive Language,P-000072,Gender
SD-000397,Receptive,,Stage Three,Active,Receptive Language,P-000089,His/her
SD-000025,Activity,,Stage One,Active,Play Skills,P-000097,Independent play
SD-000297,Parents leave (outside),,Stage One,Active,Learning to Learn,P-000206,Tolerance to Parents Leaving
SD-000093,EXPOSURE,,Stage One,Active,Communication,P-000147,Proloquo2go Exposure
SD-000271,Meal,,,Active,,P-000178,Snack Time
SD-000157,Expressive - Intra-verbal,,Stage Two,Active,Expressive Language,P-000025,Categories
SD-000250,Losing,,,Active,,P-000205,Tolerance
SD-000120,Expressive,,Stage Two,Active,Expressive Language,P-000130,People actions
SD-000407,Reciprocal,,,Active,,P-000171,Say vs. do
SD-000072,Drawing,,,Active,,P-000008,Arts and Crafts
SD-000281,Move back,,Stage Two,Active,Receptive Language,P-000112,Move back
SD-000273,missing component w/ visual,,,Active,,P-000223,What's missing?
SD-000282,Next,,,Active,,P-000139,Predicting
SD-000502,Visual exchange,,Stage One,Active,Communication,P-000034,Communication Temptation
SD-000121,Expressive,,,Active,,P-000028,Colour/Item
SD-000316,PLQ Mand,,Stage One,Active,Communication,P-000185,Songs
SD-000314,PLQ Intraverbal,,Stage Two,Active,Expressive Language,P-000185,Songs
SD-000315,PLQ Mand,,Stage Two,Active,Expressive Language,P-000004,Actions
SD-000225,In Sight,Tolerance,Stage One,Active,,P-000093,I'll be back
SD-000293,Out of sight,,,Active,,P-000093,I'll be back
SD-000467,Tolerance,,,Active,,P-000192,Sticker Tolerance
SD-000468,Tolerance,,,Active,,P-000173,Self Help
SD-000092,Exposure,,,Active,,P-000057,Emotions
SD-000094,Exposure,,Stage Two,Active,Receptive Language,P-000121,Occupations
SD-000486,Verbal Imitation,,Stage Two,Active,Imitation,P-000061,Expressive Labels
SD-000507,Walk properly,,Stage Two,Active,Community Access,P-000218,Walk properly
SD-000071,Draw,,,Active,,P-000052,Drawing
SD-000274,Missing item,,Stage Two,Active,,P-000172,Searching
SD-000161,Expressive 3rd person,,Stage Two,Active,Expressive Language,P-000004,Actions
SD-000095,Exposure,,,Active,,P-000227,Why/because
SD-000096,Exposure,,Stage Two,Active,Abstract Concepts,P-000140,Prepositions
SD-000028,Analogue,,Stage Three,Active,Abstract Concepts,P-000199,Time
SD-000068,Digital,,Stage Three,Active,Abstract Concepts,P-000199,Time
,Expressive,,,Active,,P-000211,Typing
,Weekly Schedule,,,Active,,P-000225,When
,Receptive,,Stage Two,Active,Receptive Language,P-000123,Opposites
,Therapist choice,,Stage One,Active,Play Skills,P-000133,Play Flexibility
,Exposure,,,Active,,P-000040,Contextual emotions
,TA GIVES CLUES,,,Active,,,Treasure Hunt
,CHILD GIVES CLUES,,,Active,,,Treasure Hunt
,Tolerance,,Stage One,Active,Play Skills,P-000020,Books
,Exposure,,,Active,,,Social stories
,Expressive,,Stage Two,Active,Expressive Language,,Proloquo2go Body parts
,TA Moves Away,,,Active,,,Independent Tasks
,Matching,,Stage Three,Active,School Readiness,,Draw Line to Same
,What's that from?,,Stage Four,Active,Conversation,,What's that from?
,Visual,,Stage One,Active,Learning to Learn,,Pause
,Eating own food,,Stage Two,Active,Community Access,,Table manners
,Using cutlery,,Stage Three,Active,Self-Care,,Table manners
,BRAINSTORM,,,Active,,P-000131,Phonics
,Exp Gender,,,Active,,P-000150,Pronouns
,DISCUSSION,,,Active,,,Location Rules
,School bag,,Stage Three,Active,Self-Care,,Managing school bag
,Exposure,,Stage Three,Active,Abstract Concepts,,Body Check Ring
,Lining up,,Stage Four,Active,School Readiness,,Lining up
,Walking in line,,Stage Four,Active,School Readiness,,Lining up
,Imitation,,Stage One,Active,Learning to Learn,P-000162,Reinforcement Contingency
,Tolerance,,Stage One,Active,Self-Care,,Hair Tolerance
,Communication Opportunity,,Stage One,Active,Communication,,LAMP
,Sorting,,Stage Three,Active,Abstract Concepts,,Green vs Red Choice
,Exposure,,Stage Two,Active,Play Skills,,Co-operative Play
,Independent,,Stage One,Active,Play Skills,P-000132,Play Development
,Exposure,,Stage One,Active,Play Skills,P-000132,Play Development
,Exposure,,Stage One,Active,Play Skills,P-000185,Songs
,Independent,,Stage One,Active,Play Skills,P-000185,Songs
,Independent,,Stage Two,Active,Play Skills,,Co-operative Play
,Brainstorming,,Stage Four,Active,Expressive reasoning,,Green vs Red Choice
,Sorting,,Stage Three,Active,Self-Care,P-000018,Body Parts
,Exposure,,Stage Four,Active,Expressive reasoning,,Green vs Red Choice
,Verbal,,Stage One,Active,Learning to Learn,,Pause
,Exposure,,Stage One,Active,Self-Care,P-000070,Food tolerance